epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,852.506,1.45748,1.75716,1.8671,0.62488,0.52624,0.56843,0.31372,1.57674,1.75138,1.99393,0.000445756,0.000445756,0.000445756
76,863.92,1.46478,1.77153,1.87567,0.62163,0.49636,0.56252,0.31236,1.57168,1.76915,1.96963,0.000429253,0.000429253,0.000429253
77,875.212,1.46152,1.77491,1.8794,0.59354,0.53194,0.5684,0.31015,1.57044,1.77007,1.97309,0.000412749,0.000412749,0.000412749
78,886.39,1.47924,1.75193,1.90104,0.62639,0.53386,0.59886,0.32902,1.55949,1.71729,1.97481,0.000396246,0.000396246,0.000396246
79,897.621,1.44176,1.71775,1.851,0.63376,0.52308,0.59732,0.33241,1.56105,1.72494,1.96996,0.000379743,0.000379743,0.000379743
80,908.869,1.47662,1.74769,1.87719,0.57973,0.53932,0.56506,0.31211,1.56186,1.78381,1.96543,0.000363239,0.000363239,0.000363239
81,920.247,1.45105,1.7384,1.86403,0.59752,0.55191,0.58976,0.32356,1.56145,1.72975,1.95873,0.000346736,0.000346736,0.000346736
82,931.721,1.45099,1.73903,1.86606,0.61245,0.53199,0.5932,0.32426,1.55115,1.7129,1.95406,0.000330233,0.000330233,0.000330233
83,942.944,1.43347,1.72503,1.84872,0.59367,0.55134,0.60546,0.3295,1.5983,1.71035,2.00306,0.000313729,0.000313729,0.000313729
84,954.384,1.43192,1.71914,1.85877,0.60163,0.56797,0.5924,0.32931,1.54783,1.7335,1.96674,0.000297226,0.000297226,0.000297226
85,965.525,1.45106,1.70097,1.86072,0.63428,0.55472,0.61501,0.32957,1.59971,1.68902,1.99293,0.000280723,0.000280723,0.000280723
86,976.975,1.4522,1.73965,1.86959,0.63807,0.49778,0.58024,0.31913,1.57642,1.74706,1.97513,0.00026422,0.00026422,0.00026422
87,988.098,1.41672,1.70395,1.82626,0.65027,0.52871,0.60652,0.33647,1.55404,1.70879,1.95182,0.000247716,0.000247716,0.000247716
88,999.311,1.43266,1.70429,1.83979,0.57995,0.59472,0.60113,0.33711,1.51947,1.70358,1.9216,0.000231213,0.000231213,0.000231213
89,1010.73,1.41075,1.69483,1.83545,0.57227,0.61396,0.61374,0.3455,1.54883,1.67617,1.94681,0.00021471,0.00021471,0.00021471
90,1022,1.39829,1.66813,1.83543,0.65032,0.54556,0.61276,0.34679,1.52343,1.70532,1.93083,0.000198206,0.000198206,0.000198206
91,1059.03,1.35402,1.70809,1.81604,0.65399,0.52834,0.61047,0.34382,1.56502,1.69345,1.94748,0.000181703,0.000181703,0.000181703
92,1070.91,1.36937,1.58388,1.81872,0.6469,0.53194,0.60649,0.33073,1.57844,1.6812,1.96923,0.0001652,0.0001652,0.0001652
93,1083.33,1.3505,1.56798,1.79964,0.62976,0.53926,0.59677,0.33331,1.53093,1.68181,1.92837,0.000148696,0.000148696,0.000148696
94,1094.73,1.31594,1.5283,1.78515,0.64459,0.56088,0.61924,0.34697,1.52939,1.65545,1.92923,0.000132193,0.000132193,0.000132193
95,1106.23,1.3399,1.55047,1.79672,0.62413,0.56235,0.61262,0.35003,1.52938,1.63947,1.93305,0.00011569,0.00011569,0.00011569
96,1117.47,1.33952,1.52248,1.79153,0.61605,0.59019,0.61451,0.34566,1.54238,1.65382,1.92392,9.91865e-05,9.91865e-05,9.91865e-05
97,1129.32,1.32845,1.51697,1.76726,0.59605,0.58244,0.61945,0.35355,1.51116,1.63502,1.90936,8.26832e-05,8.26832e-05,8.26832e-05
98,1140.39,1.32845,1.51875,1.78553,0.63869,0.5681,0.62316,0.3527,1.53058,1.63076,1.91911,6.61799e-05,6.61799e-05,6.61799e-05
99,1151.6,1.33623,1.50594,1.7853,0.59084,0.5907,0.62105,0.3521,1.5297,1.63366,1.92169,4.96766e-05,4.96766e-05,4.96766e-05
100,1163.22,1.31598,1.49284,1.77314,0.62414,0.59283,0.6264,0.35707,1.53016,1.62907,1.91938,3.31733e-05,3.31733e-05,3.31733e-05
